,index,target_name,target_accession,query_name,query_accession,eval_full_seq,score_full_seq,bias_full_seq,e_val_best_dom,score_best_dom,bias_best_dom,exp,reg,clu,ov,env,dom,rep,inc,target_description,sample_names,contig_id,gene_id
17097,526,China.pigfarm.SRR5976183_ctg_65842_00002,-,Cfr23_rRNA_methyltrans,RF0048,7.8e-71,241.6,0.0,9.4e-71,241.3,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976183,ctg_65842,2
2851,2851,China.pigfarm.SRR5976186_ctg_284555_00006,-,tet_ribosomoal_protect,RF0135,7.6e-71,241.5,0.0,1.7e-51,177.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976186,ctg_284555,6
13443,250,China.pigfarm.SRR5976185_ctg_308422_00001,-,adeC-adeK-oprM,RF0021,9.2e-71,241.4,11.4,1e-70,241.2,11.4,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,China.pigfarm.SRR5976185,ctg_308422,1
20461,344,China.pigfarm.SRR5976181_ctg_578045_00017,-,adeC-adeK-oprM,RF0021,9e-71,241.4,11.4,1e-70,241.2,11.4,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976181,ctg_578045,17
7198,435,China.pigfarm.SRR5976182_ctg_18804_00003,-,Cfr23_rRNA_methyltrans,RF0048,7e-71,241.4,0.0,8.2e-71,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976182,ctg_18804,3
10255,533,China.pigfarm.SRR5976187_ctg_198430_00003,-,Cfr23_rRNA_methyltrans,RF0048,8.4e-71,241.4,0.0,9.5e-71,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976187,ctg_198430,3
7199,436,China.pigfarm.SRR5976182_ctg_189013_00012,-,Cfr23_rRNA_methyltrans,RF0048,7.1e-71,241.4,0.0,8.1e-71,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976182,ctg_189013,12
11894,2172,China.pigfarm.SRR5976187_ctg_590646_00005,-,RND_efflux,RF0115,8.9e-71,241.4,5.8,1e-70,241.2,5.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_590646,5
16856,285,China.pigfarm.SRR5976183_ctg_316282_00018,-,adeC-adeK-oprM,RF0021,8.8e-71,241.4,11.4,9.8e-71,241.2,11.4,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976183,ctg_316282,18
3990,439,China.pigfarm.SRR5976184_ctg_42817_00021,-,Cfr23_rRNA_methyltrans,RF0048,8.1e-71,241.4,0.0,9.3e-71,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976184,ctg_42817,21
10017,295,China.pigfarm.SRR5976187_ctg_186175_00018,-,adeC-adeK-oprM,RF0021,8.2e-71,241.4,11.4,9.1e-71,241.2,11.4,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976187,ctg_186175,18
523,523,China.pigfarm.SRR5976186_ctg_693193_00010,-,Cfr23_rRNA_methyltrans,RF0048,8.9e-71,241.4,0.0,1.1e-70,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976186,ctg_693193,10
524,524,China.pigfarm.SRR5976186_ctg_581797_00002,-,Cfr23_rRNA_methyltrans,RF0048,9.1e-71,241.4,0.0,1e-70,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976186,ctg_581797,2
17098,527,China.pigfarm.SRR5976183_ctg_113750_00011,-,Cfr23_rRNA_methyltrans,RF0048,9.1e-71,241.3,0.0,9.8e-71,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976183,ctg_113750,11
3991,440,China.pigfarm.SRR5976184_ctg_190208_00011,-,Cfr23_rRNA_methyltrans,RF0048,8.2e-71,241.3,0.0,8.9e-71,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976184,ctg_190208,11
6603,3052,China.pigfarm.SRR5976184_ctg_149748_00001,-,vanT,RF0156,9.5e-71,241.3,0.0,1.2e-70,241.0,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976184,ctg_149748,1
20712,595,China.pigfarm.SRR5976181_ctg_608204_00004,-,Cfr23_rRNA_methyltrans,RF0048,9.2e-71,241.3,0.0,1e-70,241.2,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976181,ctg_608204,4
6058,2507,China.pigfarm.SRR5976184_ctg_122374_00003,-,tet_ribosomoal_protect,RF0135,8e-71,241.3,0.0,1.9e-51,177.3,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976184,ctg_122374,3
16420,3227,China.pigfarm.SRR5976185_ctg_10832_00006,-,vanT,RF0156,1.1e-70,241.3,0.3,1.6e-70,240.8,0.3,1.1,1,0,0,1,1,1,1,Alanine racemase      ,China.pigfarm.SRR5976185,ctg_10832,6
3274,3274,China.pigfarm.SRR5976186_ctg_211719_00008,-,vanH,RF0153,6.7e-71,241.2,1.0,8.2e-71,240.9,1.0,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976186,ctg_211719,8
19872,3301,China.pigfarm.SRR5976183_ctg_694439_00001,-,vanH,RF0153,6.6e-71,241.2,1.0,8.2e-71,240.9,1.0,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976183,ctg_694439,1
10018,296,China.pigfarm.SRR5976187_ctg_590646_00004,-,adeC-adeK-oprM,RF0021,9.4e-71,241.2,11.9,1.1e-70,241.0,11.9,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976187,ctg_590646,4
6498,2947,China.pigfarm.SRR5976184_ctg_277415_00021,-,vanH,RF0153,6e-71,241.2,1.0,7.4e-71,240.9,1.0,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976184,ctg_277415,21
16454,3261,China.pigfarm.SRR5976185_ctg_292209_00003,-,vanW,RF0157,7.6e-71,241.0,0.0,8.6e-71,240.9,0.0,1.0,1,0,0,1,1,1,1,Vancomycin B-type resistance protein VanW   ,China.pigfarm.SRR5976185,ctg_292209,3
19873,3302,China.pigfarm.SRR5976183_ctg_702483_00017,-,vanH,RF0153,7.8e-71,241.0,0.3,9e-71,240.8,0.3,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976183,ctg_702483,17
13053,3331,China.pigfarm.SRR5976187_ctg_320395_00032,-,vanT,RF0156,1.3e-70,241.0,0.0,1.6e-70,240.6,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976187,ctg_320395,32
23176,3059,China.pigfarm.SRR5976181_ctg_464934_00003,-,tet_ribosomoal_protect,RF0135,1.1e-70,241.0,0.0,4.6e-51,176.2,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_464934,3
23175,3058,China.pigfarm.SRR5976181_ctg_684929_00006,-,tet_ribosomoal_protect,RF0135,1.1e-70,241.0,0.0,1.3e-68,234.1,0.0,2.8,1,1,0,1,1,1,1,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_684929,6
10256,534,China.pigfarm.SRR5976187_ctg_237797_00008,-,Cfr23_rRNA_methyltrans,RF0048,1.1e-70,240.9,0.0,1.5e-70,240.6,0.0,1.0,1,0,0,1,1,1,1,putative dual-specificity RNA methyltransferase RlmN  ,China.pigfarm.SRR5976187,ctg_237797,8
7200,437,China.pigfarm.SRR5976182_ctg_151340_00008,-,Cfr23_rRNA_methyltrans,RF0048,1e-70,240.8,0.0,1.3e-70,240.4,0.0,1.0,1,0,0,1,1,1,1,putative dual-specificity RNA methyltransferase RlmN  ,China.pigfarm.SRR5976182,ctg_151340,8
15850,2657,China.pigfarm.SRR5976185_ctg_90062_00003,-,tet_ribosomoal_protect,RF0135,1.4e-70,240.8,0.0,4.4e-51,176.3,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G     ,China.pigfarm.SRR5976185,ctg_90062,3
2853,2853,China.pigfarm.SRR5976186_ctg_127781_00003,-,tet_ribosomoal_protect,RF0135,1.5e-70,240.6,0.0,3.9e-51,176.4,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976186,ctg_127781,3
2852,2852,China.pigfarm.SRR5976186_ctg_169970_00003,-,tet_ribosomoal_protect,RF0135,1.5e-70,240.6,0.0,3.1e-51,176.8,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976186,ctg_169970,3
19414,2843,China.pigfarm.SRR5976183_ctg_724197_00004,-,tet_ribosomoal_protect,RF0135,1.5e-70,240.6,0.0,3.8e-51,176.4,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976183,ctg_724197,4
9203,2440,China.pigfarm.SRR5976182_ctg_707336_00003,-,tet_ribosomoal_protect,RF0135,1.1e-70,240.6,0.0,4.5e-51,175.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976182,ctg_707336,3
12519,2797,China.pigfarm.SRR5976187_ctg_593714_00001,-,tet_ribosomoal_protect,RF0135,1.5e-70,240.5,0.0,5.5e-51,175.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976187,ctg_593714,1
15851,2658,China.pigfarm.SRR5976185_ctg_478557_00005,-,tet_ribosomoal_protect,RF0135,1.7e-70,240.5,0.0,6.1e-51,175.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G     ,China.pigfarm.SRR5976185,ctg_478557,5
6059,2508,China.pigfarm.SRR5976184_ctg_200737_00006,-,tet_ribosomoal_protect,RF0135,1.5e-70,240.5,0.0,5.3e-51,175.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976184,ctg_200737,6
23177,3060,China.pigfarm.SRR5976181_ctg_764089_00004,-,tet_ribosomoal_protect,RF0135,1.6e-70,240.5,0.0,6e-51,175.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_764089,4
23178,3061,China.pigfarm.SRR5976181_ctg_128887_00004,-,tet_ribosomoal_protect,RF0135,1.7e-70,240.4,0.0,1e-49,171.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_128887,4
12520,2798,China.pigfarm.SRR5976187_ctg_98831_00001,-,tet_ribosomoal_protect,RF0135,1.6e-70,240.4,0.0,9.3e-50,171.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976187,ctg_98831,1
9204,2441,China.pigfarm.SRR5976182_ctg_524687_00004,-,tet_ribosomoal_protect,RF0135,1.3e-70,240.4,0.0,7.9e-50,171.8,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976182,ctg_524687,4
3275,3275,China.pigfarm.SRR5976186_ctg_596699_00002,-,vanH,RF0153,1.3e-70,240.3,0.0,1.6e-70,240.0,0.0,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976186,ctg_596699,2
9205,2442,China.pigfarm.SRR5976182_ctg_680827_00011,-,tet_ribosomoal_protect,RF0135,1.4e-70,240.3,0.0,2.9e-51,176.5,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976182,ctg_680827,11
3276,3276,China.pigfarm.SRR5976186_ctg_560021_00050,-,vanH,RF0153,1.3e-70,240.3,0.3,1.5e-70,240.0,0.3,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976186,ctg_560021,50
23179,3062,China.pigfarm.SRR5976181_ctg_592384_00001,-,tet_ribosomoal_protect,RF0135,1.8e-70,240.3,0.0,4.7e-51,176.2,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_592384,1
12521,2799,China.pigfarm.SRR5976187_ctg_536911_00003,-,tet_ribosomoal_protect,RF0135,1.7e-70,240.3,0.0,4.3e-51,176.2,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976187,ctg_536911,3
5418,1867,China.pigfarm.SRR5976184_ctg_333600_00001,-,RND_efflux,RF0115,2.1e-70,240.2,0.0,2.5e-70,239.9,0.0,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976184,ctg_333600,1
7201,438,China.pigfarm.SRR5976182_ctg_103111_00002,-,Cfr23_rRNA_methyltrans,RF0048,1.9e-70,240.0,0.0,2e-70,239.8,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976182,ctg_103111,2
6499,2948,China.pigfarm.SRR5976184_ctg_555654_00016,-,vanH,RF0153,1.5e-70,239.9,0.2,1.9e-70,239.6,0.2,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976184,ctg_555654,16
23180,3063,China.pigfarm.SRR5976181_ctg_746670_00007,-,tet_ribosomoal_protect,RF0135,2.5e-70,239.9,0.0,7.4e-51,175.5,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_746670,7
20713,596,China.pigfarm.SRR5976181_ctg_292527_00014,-,Cfr23_rRNA_methyltrans,RF0048,2.5e-70,239.9,0.0,3.1e-70,239.6,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976181,ctg_292527,14
23622,3505,China.pigfarm.SRR5976181_ctg_91061_00001,-,vanH,RF0153,1.7e-70,239.9,0.2,2.1e-70,239.6,0.2,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976181,ctg_91061,1
6060,2509,China.pigfarm.SRR5976184_ctg_243406_00034,-,tet_ribosomoal_protect,RF0135,2.2e-70,239.9,0.0,4.7e-50,172.7,0.0,2.6,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976184,ctg_243406,34
19415,2844,China.pigfarm.SRR5976183_ctg_462529_00007,-,tet_ribosomoal_protect,RF0135,2.6e-70,239.8,0.0,5.5e-50,172.6,0.0,2.6,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976183,ctg_462529,7
13666,473,China.pigfarm.SRR5976185_ctg_348888_00004,-,Cfr23_rRNA_methyltrans,RF0048,2.8e-70,239.8,0.0,3.3e-70,239.6,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN    ,China.pigfarm.SRR5976185,ctg_348888,4
12522,2800,China.pigfarm.SRR5976187_ctg_700365_00008,-,tet_ribosomoal_protect,RF0135,2.7e-70,239.6,0.0,1.2e-50,174.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976187,ctg_700365,8
9206,2443,China.pigfarm.SRR5976182_ctg_227240_00002,-,tet_ribosomoal_protect,RF0135,2.5e-70,239.5,0.0,4.4e-51,175.9,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976182,ctg_227240,2
19416,2845,China.pigfarm.SRR5976183_ctg_262285_00003,-,tet_ribosomoal_protect,RF0135,3.2e-70,239.5,0.0,5.6e-51,175.9,0.0,2.5,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976183,ctg_262285,3
6445,2894,China.pigfarm.SRR5976184_ctg_443702_00015,-,vanD,RF0152,2.7e-70,239.4,0.0,3.4e-70,239.1,0.0,1.1,1,0,0,1,1,1,1,D-alanine--D-alanine ligase A    ,China.pigfarm.SRR5976184,ctg_443702,15
10257,535,China.pigfarm.SRR5976187_ctg_238731_00003,-,Cfr23_rRNA_methyltrans,RF0048,3.5e-70,239.3,0.0,4.3e-70,239.0,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976187,ctg_238731,3
266,266,China.pigfarm.SRR5976186_ctg_64153_00025,-,adeC-adeK-oprM,RF0021,3.7e-70,239.3,8.6,4.1e-70,239.2,8.6,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976186,ctg_64153,25
20714,597,China.pigfarm.SRR5976181_ctg_382428_00018,-,Cfr23_rRNA_methyltrans,RF0048,4.2e-70,239.2,0.0,5.1e-70,238.9,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976181,ctg_382428,18
17099,528,China.pigfarm.SRR5976183_ctg_59422_00002,-,Cfr23_rRNA_methyltrans,RF0048,4.1e-70,239.2,0.0,4.7e-70,239.0,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976183,ctg_59422,2
9539,2776,China.pigfarm.SRR5976182_ctg_315610_00003,-,vanH,RF0153,2.2e-70,239.2,0.1,2.5e-70,239.0,0.1,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976182,ctg_315610,3
2854,2854,China.pigfarm.SRR5976186_ctg_522912_00004,-,tet_ribosomoal_protect,RF0135,4.2e-70,239.1,0.0,1.5e-50,174.5,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976186,ctg_522912,4
525,525,China.pigfarm.SRR5976186_ctg_90856_00037,-,Cfr23_rRNA_methyltrans,RF0048,4.4e-70,239.1,0.0,5.7e-70,238.7,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976186,ctg_90856,37
10019,297,China.pigfarm.SRR5976187_ctg_67134_00013,-,adeC-adeK-oprM,RF0021,3.9e-70,239.1,0.7,8.5e-70,238.0,0.7,1.5,1,1,0,1,1,1,1,Toluene efflux pump outer membrane protein TtgF,China.pigfarm.SRR5976187,ctg_67134,13
13444,251,China.pigfarm.SRR5976185_ctg_26311_00002,-,adeC-adeK-oprM,RF0021,4.9e-70,239.0,26.9,5.4e-70,238.8,26.9,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,China.pigfarm.SRR5976185,ctg_26311,2
19874,3303,China.pigfarm.SRR5976183_ctg_131457_00003,-,vanH,RF0153,3.3e-70,238.9,0.1,3.7e-70,238.7,0.1,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976183,ctg_131457,3
23730,3613,China.pigfarm.SRR5976181_ctg_486944_00004,-,vanT,RF0156,5.8e-70,238.9,0.0,7.4e-70,238.6,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976181,ctg_486944,4
7013,250,China.pigfarm.SRR5976182_ctg_82338_00003,-,adeC-adeK-oprM,RF0021,4.2e-70,238.8,11.5,4.8e-70,238.6,11.5,1.0,1,0,0,1,1,1,1,Cation efflux system protein CusC  ,China.pigfarm.SRR5976182,ctg_82338,3
16421,3228,China.pigfarm.SRR5976185_ctg_664034_00014,-,vanT,RF0156,7.1e-70,238.7,0.0,9.1e-70,238.3,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 2     ,China.pigfarm.SRR5976185,ctg_664034,14
526,526,China.pigfarm.SRR5976186_ctg_45234_00013,-,Cfr23_rRNA_methyltrans,RF0048,6.1e-70,238.6,0.0,7e-70,238.4,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976186,ctg_45234,13
3992,441,China.pigfarm.SRR5976184_ctg_280287_00006,-,Cfr23_rRNA_methyltrans,RF0048,5.4e-70,238.6,0.0,6.2e-70,238.4,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976184,ctg_280287,6
7014,251,China.pigfarm.SRR5976182_ctg_80340_00002,-,adeC-adeK-oprM,RF0021,5.1e-70,238.5,9.9,5.7e-70,238.4,9.9,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976182,ctg_80340,2
10258,536,China.pigfarm.SRR5976187_ctg_450336_00002,-,Cfr23_rRNA_methyltrans,RF0048,6.9e-70,238.3,0.0,8.2e-70,238.1,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976187,ctg_450336,2
23181,3064,China.pigfarm.SRR5976181_ctg_387177_00008,-,tet_ribosomoal_protect,RF0135,7.1e-70,238.3,0.0,4.4e-52,179.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_387177,8
3383,3383,China.pigfarm.SRR5976186_ctg_610722_00002,-,vanT,RF0156,8.6e-70,238.3,0.0,1.1e-69,238.0,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976186,ctg_610722,2
9624,2861,China.pigfarm.SRR5976182_ctg_699821_00007,-,vanT,RF0156,7.2e-70,238.3,0.1,9.6e-70,237.8,0.1,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976182,ctg_699821,7
2855,2855,China.pigfarm.SRR5976186_ctg_217272_00002,-,tet_ribosomoal_protect,RF0135,7.1e-70,238.3,0.0,4.3e-52,179.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976186,ctg_217272,2
15852,2659,China.pigfarm.SRR5976185_ctg_667105_00012,-,tet_ribosomoal_protect,RF0135,7.2e-70,238.3,0.0,4.5e-52,179.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G     ,China.pigfarm.SRR5976185,ctg_667105,12
12523,2801,China.pigfarm.SRR5976187_ctg_347914_00001,-,tet_ribosomoal_protect,RF0135,6.5e-70,238.3,0.0,4e-52,179.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976187,ctg_347914,1
19417,2846,China.pigfarm.SRR5976183_ctg_35962_00002,-,tet_ribosomoal_protect,RF0135,7e-70,238.3,0.0,4.3e-52,179.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976183,ctg_35962,2
6061,2510,China.pigfarm.SRR5976184_ctg_271505_00001,-,tet_ribosomoal_protect,RF0135,6.3e-70,238.3,0.0,3.9e-52,179.6,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976184,ctg_271505,1
15853,2660,China.pigfarm.SRR5976185_ctg_247383_00003,-,tet_ribosomoal_protect,RF0135,7.8e-70,238.2,0.0,1.3e-50,174.7,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G     ,China.pigfarm.SRR5976185,ctg_247383,3
19418,2847,China.pigfarm.SRR5976183_ctg_449612_00004,-,tet_ribosomoal_protect,RF0135,7.5e-70,238.2,0.0,1.3e-50,174.7,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976183,ctg_449612,4
2856,2856,China.pigfarm.SRR5976186_ctg_660472_00007,-,tet_ribosomoal_protect,RF0135,7.6e-70,238.2,0.0,1.3e-50,174.7,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976186,ctg_660472,7
12524,2802,China.pigfarm.SRR5976187_ctg_313147_00010,-,tet_ribosomoal_protect,RF0135,7e-70,238.2,0.0,1.2e-50,174.7,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976187,ctg_313147,10
7015,252,China.pigfarm.SRR5976182_ctg_690806_00005,-,adeC-adeK-oprM,RF0021,6.5e-70,238.2,14.0,7.3e-70,238.0,14.0,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976182,ctg_690806,5
23182,3065,China.pigfarm.SRR5976181_ctg_708751_00007,-,tet_ribosomoal_protect,RF0135,7.6e-70,238.2,0.0,1.3e-50,174.7,0.0,2.7,2,1,0,2,2,2,2,Elongation factor G    ,China.pigfarm.SRR5976181,ctg_708751,7
13054,3332,China.pigfarm.SRR5976187_ctg_256097_00006,-,vanT,RF0156,9.2e-70,238.1,0.0,1.1e-69,237.9,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976187,ctg_256097,6
7202,439,China.pigfarm.SRR5976182_ctg_119776_00009,-,Cfr23_rRNA_methyltrans,RF0048,7e-70,238.1,0.0,8.1e-70,237.9,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976182,ctg_119776,9
17100,529,China.pigfarm.SRR5976183_ctg_596633_00002,-,Cfr23_rRNA_methyltrans,RF0048,9.4e-70,238.0,0.0,1.1e-69,237.7,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976183,ctg_596633,2
12953,3231,China.pigfarm.SRR5976187_ctg_95052_00003,-,vanH,RF0153,5.7e-70,238.0,0.0,6.5e-70,237.8,0.0,1.0,1,0,0,1,1,1,1,D-lactate dehydrogenase     ,China.pigfarm.SRR5976187,ctg_95052,3
18747,2176,China.pigfarm.SRR5976183_ctg_303194_00009,-,RND_efflux,RF0115,1.1e-69,238.0,2.9,1.2e-69,237.8,2.9,1.0,1,0,0,1,1,1,1,Swarming motility protein SwrC   ,China.pigfarm.SRR5976183,ctg_303194,9
6604,3053,China.pigfarm.SRR5976184_ctg_251431_00002,-,vanT,RF0156,1.2e-69,237.7,0.1,1.5e-69,237.3,0.1,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976184,ctg_251431,2
19971,3400,China.pigfarm.SRR5976183_ctg_229080_00002,-,vanT,RF0156,1.3e-69,237.7,0.1,1.7e-69,237.3,0.1,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976183,ctg_229080,2
3384,3384,China.pigfarm.SRR5976186_ctg_280121_00007,-,vanT,RF0156,1.3e-69,237.7,0.1,1.7e-69,237.3,0.1,1.0,1,0,0,1,1,1,1,Alanine racemase 1    ,China.pigfarm.SRR5976186,ctg_280121,7
527,527,China.pigfarm.SRR5976186_ctg_536388_00003,-,Cfr23_rRNA_methyltrans,RF0048,1.3e-69,237.6,0.0,1.5e-69,237.3,0.0,1.0,1,0,0,1,1,1,1,Dual-specificity RNA methyltransferase RlmN   ,China.pigfarm.SRR5976186,ctg_536388,3
13445,252,China.pigfarm.SRR5976185_ctg_387161_00003,-,adeC-adeK-oprM,RF0021,1.2e-69,237.6,13.3,1.4e-69,237.5,13.3,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,China.pigfarm.SRR5976185,ctg_387161,3
267,267,China.pigfarm.SRR5976186_ctg_604628_00002,-,adeC-adeK-oprM,RF0021,1.5e-69,237.4,13.3,1.6e-69,237.2,13.3,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM   ,China.pigfarm.SRR5976186,ctg_604628,2
